,account_id,alliance_id,timestamp,raw_message
27313,853b494f0a59f53d7bd85e58a3635bfcc5ea0ff5ab20821216d2ed50990a56d0,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 02:59:07.861000+00:00,Coaching…
131856,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:44:48.355000+00:00,So uhhh who needs a hug?
31831,2d767c85e39d533507e2ab150fc1aacc5597d9c638a9a70eddddee624082fd0f,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:45:05.443000+00:00,anyone 1v1??
3635,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:45:11.691000+00:00,Sure
68409,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:45:17.052000+00:00,I’m scared now
112450,2d767c85e39d533507e2ab150fc1aacc5597d9c638a9a70eddddee624082fd0f,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:48:43.229000+00:00,well played
169906,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:48:50.283000+00:00,Kakarot got the instinct of a saiyan
102216,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:48:56.266000+00:00,Thanks
89568,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:49:57.704000+00:00,Uhh need inferno but got no tokens
76407,2d767c85e39d533507e2ab150fc1aacc5597d9c638a9a70eddddee624082fd0f,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:50:19.867000+00:00,oh ok
106648,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:50:33.775000+00:00,Wanna help with doing masteries?
162259,2d767c85e39d533507e2ab150fc1aacc5597d9c638a9a70eddddee624082fd0f,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:50:55.505000+00:00,how
76169,2d767c85e39d533507e2ab150fc1aacc5597d9c638a9a70eddddee624082fd0f,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:51:05.909000+00:00,i took a year break so don't know
15485,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:51:11.916000+00:00,Ohh
57675,2d767c85e39d533507e2ab150fc1aacc5597d9c638a9a70eddddee624082fd0f,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:51:14.101000+00:00,oh ok let's do it
135300,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:51:22.053000+00:00,Don’t trophy push you’ll suffee
165880,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:51:26.828000+00:00,Sweet
95439,2d767c85e39d533507e2ab150fc1aacc5597d9c638a9a70eddddee624082fd0f,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 04:55:11.013000+00:00,let's do again in few min in class
64153,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 05:04:33.521000+00:00,*out
372,ed224aa24238a592bcb37102db09a4b58b3558587198b178ac4c91e0103096ab,96f5654de36f29efbc2ee289e5300a30f70b65e56662b86a56311f15444be631,2023-03-01 05:06:21.370000+00:00,I need to spectate some off his matches
